Samoa,WSM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,690507147.4
San Marino,SMR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Sao Tome and Principe,STP,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,216187518.7
Saudi Arabia,SAU,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,4.91E+11
Senegal,SEN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,18232202207
Serbia,SRB,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,63372927321
Seychelles,SYC,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1492408495
Sierra Leone,SLE,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,3334211241
Singapore,SGP,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.94E+11
Sint Maarten (Dutch part),SXM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Slovak Republic,SVK,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,87133808137
Slovenia,SVN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,46962272775
Solomon Islands,SLB,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,973800160.8
Somalia,SOM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
South Africa,ZAF,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,4.06E+11
South Sudan,SSD,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Spain,ESP,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.19E+12
Sri Lanka,LKA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,69740390819
St. Kitts and Nevis,KNA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,735774025
St. Lucia,LCA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1469238368
St. Martin (French part),MAF,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
St. Vincent and the Grenadines,VCT,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,962710490.9
Sudan,SDN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,61955397193
Suriname,SUR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,3059931570
Swaziland,SWZ,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,4990265969
Sweden,SWE,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.95E+11
Switzerland,CHE,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.66E+11
Syrian Arab Republic,SYR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,76403164435
Tajikistan,TJK,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,9681676797
Tanzania,TZA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,40354382417
Thailand,THA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,4.45E+11
Timor-Leste,TMP,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,968145621.7
Togo,TGO,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,4641277061
Tonga,TON,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,417725311.7
Trinidad and Tobago,TTO,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,26384324019
Tunisia,TUN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,72031944851
Turkey,TUR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,7.81E+11
Turkmenistan,TKM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,22608518229
Turks and Caicos Islands,TCA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Tuvalu,TUV,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Uganda,UGA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,25903142658
Ukraine,UKR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.63E+11
United Arab Emirates,ARE,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.72E+11
United Kingdom,GBR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.97E+12
United States,USA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.26E+13
Uruguay,URY,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,32008625141
Uzbekistan,UZB,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,52359264378
Vanuatu,VUT,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,739098147.5
"Venezuela, RB",VEN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.64E+11
Vietnam,VNM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.78E+11
Virgin Islands (U.S.),VIR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
West Bank and Gaza,WBG,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,8811978772
"Yemen, Rep.",YEM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,46172068885
Zambia,ZMB,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,13268758899
Zimbabwe,ZWE,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
World,,,,5.64037E+13
