Indicator Name,Indicator Code,Country Name,Country Code,2008,2009,2010,2011
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Micronesia, Fed. Sts.",FSM,229491005.2,231026154.3,238245803.8,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Moldova,MDA,2111088030,1984642726,2122505092,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Monaco,MCO,3820217815,3719800903,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Mongolia,MNG,2028460486,2002727457,2130204298,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Montenegro,MNE,1453085123,1370259271,1404515753,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Morocco,MAR,55158232262,57782852366,59908047776,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Mozambique,MOZ,7989247121,8504258928,9116571405,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Myanmar,MMR,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Namibia,NAM,5851383577,5810423892,6089324238,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Nepal,NPL,7362028621,7686782768,8036784848,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Netherlands,NLD,4.50E+11,4.34E+11,4.41E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,New Caledonia,NCL,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,New Zealand,NZL,64081242758,63779599884,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Nicaragua,NIC,5274667877,5103701327,5490032606,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Niger,NER,2598561236,2567378501,2793453329,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Nigeria,NGA,74179440698,79372001547,85602703669,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Northern Mariana Islands,MNP,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Norway,NOR,1.97E+11,1.94E+11,1.95E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Oman,OMN,30023510878,30353769498,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Pakistan,PAK,1.08E+11,1.11E+11,1.16E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Palau,PLW,128000152.2,125312149,127818392,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Panama,PAN,19332855869,19796106153,20752469794,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Papua New Guinea,PNG,4479545283,4725920274,5103993896,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Paraguay,PRY,9458532785,9094701457,10463076859,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Peru,PER,84302372402,85006410418,92474200468,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Philippines,PHL,1.19E+11,1.20E+11,1.29E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Poland,POL,2.38E+11,2.42E+11,2.51E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Portugal,PRT,1.27E+11,1.23E+11,1.25E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Puerto Rico,PRI,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Qatar,QAT,49902518070,54215093681,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Romania,ROM,61198545647,55996669267,56527456853,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,4.32E+11,3.98E+11,4.14E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Rwanda,RWA,3211350571,3343015945,3593742140,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Samoa,WSM,328406851.8,322746752.5,328269116.2,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,San Marino,SMR,998123875.3,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Sao Tome and Principe,STP,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Saudi Arabia,SAU,2.49E+11,2.49E+11,2.59E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Senegal,SEN,6545782363,6691219750,6970078285,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Serbia,SRB,8941244450,8628300894,8710641061,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Seychelles,SYC,700771117.3,705676515.1,749428459.1,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Sierra Leone,SLE,1453557725,1500071572,1574302614,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Singapore,SGP,1.45E+11,1.44E+11,1.65E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Sint Maarten (Dutch part),SXM,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Slovak Republic,SVK,46264165610,43992369907,45859209920,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Slovenia,SVN,27967310657,25727727934,26082652065,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Solomon Islands,SLB,582245809.6,575258859.8,615526980,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Somalia,SOM,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1.85E+11,1.82E+11,1.87E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,South Sudan,SSD,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Spain,ESP,7.41E+11,7.13E+11,7.12E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Sri Lanka,LKA,24169041086,25024372773,27029192432,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,St. Kitts and Nevis,KNA,535782319.6,502250379.7,477141392.8,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,St. Lucia,LCA,895572648.6,885799468.9,913253323.9,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,St. Martin (French part),MAF,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,St. Vincent and the Grenadines,VCT,545805065.9,539417261.5,532470090.5,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Sudan,SDN,21013966787,21846767398,22819076998,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Suriname,SUR,1345763524,1386999815,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Swaziland,SWZ,1818329607,1825602925,1845684558,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Sweden,SWE,3.02E+11,2.87E+11,3.03E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Switzerland,CHE,2.92E+11,2.87E+11,2.95E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Syrian Arab Republic,SYR,28519111114,30230257781,31197626030,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Tajikistan,TJK,1714713307,1850175658,1920482333,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Tanzania,TZA,17592555399,18651970661,19954809364,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Thailand,THA,1.78E+11,1.74E+11,1.87E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Timor-Leste,TMP,361000000,386700000,415400000,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Togo,TGO,1611320807,1663308021,1719332980,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Tonga,TON,211928828.5,211643620.3,210629397.2,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Trinidad and Tobago,TTO,14549984595,14040735134,14054775870,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Tunisia,TUN,31228376126,32195585570,33386822236,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Turkey,TUR,3.75E+11,3.57E+11,3.89E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Turkmenistan,TKM,8973871338,9521277489,10397235018,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Turks and Caicos Islands,TCA,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Tuvalu,TUV,17272094.95,17173513.24,16852743.78,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Uganda,UGA,11182997488,11993479808,12614923290,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Ukraine,UKR,53572110088,45643437795,47560462182,
